,Natureza da Receita,Valor Previsto,Valor Realizado,"Rua Maria Maia, 157, Grajaú – Brumadinho / MG CEP",Telefone de contato,Ano de Referência,Ano ,Mês ,Descrição da Natureza da Receita ,FileName
0,0000.00.00 - RECEITAS,"R$ 189.940.300,00","R$ 175.543.550,34",,,,,,,/datalake/ufmg/crawler/webcrawlerc01/realizacaof01/brumadinho/receitas/data/raw_pages/7981f8cad94aa8c7c11e92138b1e749c.html
1,1000.00.00 - RECEITAS CORRENTES,"R$ 188.570.200,00","R$ 174.563.579,91",,,,,,,/datalake/ufmg/crawler/webcrawlerc01/realizacaof01/brumadinho/receitas/data/raw_pages/7981f8cad94aa8c7c11e92138b1e749c.html
2,1100.00.00 - RECEITA TRIBUTÁRIA,"R$ 24.471.000,00","R$ 23.354.720,16",,,,,,,/datalake/ufmg/crawler/webcrawlerc01/realizacaof01/brumadinho/receitas/data/raw_pages/7981f8cad94aa8c7c11e92138b1e749c.html
3,1110.00.00 - IMPOSTOS,"R$ 22.996.100,00","R$ 21.615.697,71",,,,,,,/datalake/ufmg/crawler/webcrawlerc01/realizacaof01/brumadinho/receitas/data/raw_pages/7981f8cad94aa8c7c11e92138b1e749c.html
4,1112.00.00 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA,"R$ 10.469.400,00","R$ 7.835.768,61",,,,,,,/datalake/ufmg/crawler/webcrawlerc01/realizacaof01/brumadinho/receitas/data/raw_pages/7981f8cad94aa8c7c11e92138b1e749c.html
5,1112.01.00 - IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL,"R$ 2.972.800,00","R$ 3.117.829,32",,,,,,,/datalake/ufmg/crawler/webcrawlerc01/realizacaof01/brumadinho/receitas/data/raw_pages/7981f8cad94aa8c7c11e92138b1e749c.html
6,1112.02.00 - Imposto sobre a Propriedade Predial e Territorial Urbana,"R$ 2.972.800,00","R$ 3.117.829,32",,,,,,,/datalake/ufmg/crawler/webcrawlerc01/realizacaof01/brumadinho/receitas/data/raw_pages/7981f8cad94aa8c7c11e92138b1e749c.html
7,1112.04.00 - IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA,"R$ 7.496.600,00","R$ 4.717.939,29",,,,,,,/datalake/ufmg/crawler/webcrawlerc01/realizacaof01/brumadinho/receitas/data/raw_pages/7981f8cad94aa8c7c11e92138b1e749c.html
8,1112.04.31 - Imposto de Renda Retido nas Fontes sobre os Rendimentos do Trabalho,"R$ 4.904.700,00","R$ 1.825.045,86",,,,,,,/datalake/ufmg/crawler/webcrawlerc01/realizacaof01/brumadinho/receitas/data/raw_pages/7981f8cad94aa8c7c11e92138b1e749c.html
9,1112.04.34 - Imposto de Renda Retido nas Fontes sobre Outros Rendimentos,"R$ 143.500,00","R$ 99.728,07",,,,,,,/datalake/ufmg/crawler/webcrawlerc01/realizacaof01/brumadinho/receitas/data/raw_pages/7981f8cad94aa8c7c11e92138b1e749c.html
