 * Serving Flask app 'main.py' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
/dados01/workspace/ufmg_2021_f01/ufmg.amedeiros/F01/service/main.py:5: Warning: Silently ignoring app.run() because the application is run from the flask command line executable. Consider putting app.run() behind an if __name__ == "__main__" guard to silence this warning.
  app.run(debug=True)
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [11/Mar/2022 10:15:20] "GET /barroso/48 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:21] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:22] "GET /barroso/48 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:22] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:25] "GET /barroso/47 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:26] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:28] "GET /barroso/45 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:29] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:31] "GET /barroso/40 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:32] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:37] "GET /barroso/40 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:37] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:40] "GET /barroso/48 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:41] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:43] "GET /barroso HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:15:44] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:17:24] "GET /barroso HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:17:25] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:17:27] "GET /barroso/50 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:17:28] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:17:57] "GET /barroso/50 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:17:58] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:18:01] "GET /barroso HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 10:18:02] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 11:04:20] "GET /barroso HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 11:05:21] "GET /barroso HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2022 11:05:26] "GET /barroso HTTP/1.1" 200 -
