#Rank,Município,Desenvolvedor,Site Prefeitura,Site Camara,Portal da Transparência (coleta),Portal da Transparência (validado),"Link 
correto?",Priorizado? (top 18 da cauda),Link Novo,Link Validado (Antigo)
212,Lagoa Formosa,404,https://lagoaformosa.mg.gov.br/,https://www.camaralagoa.mg.gov.br/,http://transparencia.lagoaformosa.mg.gov.br:8444/transparencia/,http://transparencia.lagoaformosa.mg.gov.br:8444/transparencia/,x,,,http://transparencia.lagoaformosa.mg.gov.br:8444/transparencia/
262,Santa Maria do Suaçuí,404,https://smsuacui.mg.gov.br/,http://www.camarasms.mg.gov.br/Mensagem/MensagemSiteDesativado.aspx,http://www.contasabertas.inf.br/abre/c4ca4238a0b923820dcc509a6f75849b,https://pmsmsuacui-transparencia.gpecloud.com.br/,x,,,https://pmsmsuacui-transparencia.gpecloud.com.br/
352,Miradouro,404,http://www.miradouro.mg.gov.br/,https://www.camaramiradouro.mg.gov.br/,http://transparencia.gov.br/busca/pessoa-fisica/52303210-vanda-pinheiro-de-lacerda-freitas,https://prefeitura24horas.online/_transparencia/home/,,,,https://prefeitura24horas.online/_transparencia/home/
356,Juruaia,404,http://juruaia.mg.gov.br/,https://www.juruaia.cam.mg.gov.br/,https://www.juruaia.mg.gov.br/portal-transparencia,https://www.juruaia.mg.gov.br/portal-transparencia,,,,https://www.juruaia.mg.gov.br/portal-transparencia
388,Açucena,404,https://www.acucena.mg.gov.br/,http://www.camaraacucena.mg.gov.br/,https://www.acucena.mg.gov.br/transparencia,https://www.acucena.mg.gov.br/transparencia,,,,https://www.acucena.mg.gov.br/transparencia
419,Pocrane,404,https://www.pocrane.mg.gov.br:443/,http://cmpocrane.mg.gov.br/,https://pocrane-mg.portaltp.com.br/,https://pocrane-mg.portaltp.com.br/,,,,https://pocrane-mg.portaltp.com.br/
423,São Gonçalo do Abaeté,404,https://www.saogoncalodoabaete.mg.gov.br,https://www.saogoncalodoabaete.mg.leg.br/,https://saogoncalodoabaete.mg.gov.br/transparencia,https://saogoncalodoabaete-mg.portaltp.com.br/,,,,https://saogoncalodoabaete-mg.portaltp.com.br/
491,Iraí de Minas,404,http://www.iraideminas.mg.gov.br/,http://www.camarairaideminas.mg.gov.br/,http://177.85.2.36:8444/transparencia/,http://177.85.2.36:8444/transparencia/,,,,http://177.85.2.36:8444/transparencia/
501,Araporã,404,https://www.arapora.mg.gov.br,https://www.arapora.mg.leg.br/,http://transparencia.arapora.mg.gov.br/,http://transparencia.arapora.mg.gov.br/,,,,http://transparencia.arapora.mg.gov.br/
516,Dona Eusébia,404,http://www.donaeuzebia.mg.gov.br/,http://www.donaeuzebia.mg.leg.br/,http://donaeuzebia.mg.gov.br/donaeuzebia/repasses/,https://prefeitura24horas.online/_transparencia/home/,,,,https://prefeitura24horas.online/_transparencia/home/
533,Catuji,404,http://www.catuji.mg.gov.br/,https://www.catuji.cam.mg.gov.br/,https://www.catuji.mg.gov.br/transparencia.php,https://www.catuji.mg.gov.br/transparencia.php,,,,https://www.catuji.mg.gov.br/transparencia.php
649,Tapira,404,http://www.tapira.mg.gov.br/,http://www.camaratapira.mg.gov.br/,http://167.249.84.86:8444/transparencia/paginas/publico/lei12527/pessoal/gastosComPessoal.xhtml,http://167.249.84.86:8444/transparencia/,,,,http://167.249.84.86:8444/transparencia/
750,Romaria,404,https://romaria.mg.gov.br/,https://www.romaria.mg.leg.br/,https://www.romaria.mg.leg.br/transparencia/orcamento-e-financas,http://177.185.100.233:8444/transparencia/,,,,http://177.185.100.233:8444/transparencia/
752,Estrela do Indaiá,404,https://www.estreladoindaia.mg.gov.br/,https://www.estreladoindaia.cam.mg.gov.br/,https://www.estreladoindaia.mg.gov.br/licitacoes.php,http://201.16.156.251:8095/,,,,http://201.16.156.251:8095/
