id,nome,api
3100104,Abadia dos Dourados,abadia_dos_dourados
3100203,Abaeté,abaete
3100302,Abre Campo,abre_campo
3100401,Acaiaca,acaiaca
3100500,Açucena,acucena
3100609,Água Boa,agua_boa
3100708,Água Comprida,agua_comprida
3100807,Aguanil,aguanil
3100906,Águas Formosas,aguas_formosas
3101003,Águas Vermelhas,aguas_vermelhas
3101102,Aimorés,aimores
3101201,Aiuruoca,aiuruoca
3101300,Alagoa,alagoa
3101409,Albertina,albertina
3101508,Além Paraíba,alem_paraiba
3101607,Alfenas,alfenas
3101631,Alfredo Vasconcelos,alfredo_vasconcelos
3101706,Almenara,almenara
3101805,Alpercata,alpercata
3101904,Alpinópolis,alpinopolis
3102001,Alterosa,alterosa
3102050,Alto Caparaó,alto_caparao
3153509,Alto Jequitibá,alto_jequitiba
3102100,Alto Rio Doce,alto_rio_doce
3102209,Alvarenga,alvarenga
3102308,Alvinópolis,alvinopolis
3102407,Alvorada de Minas,alvorada_de_minas
3102506,Amparo do Serra,amparo_do_serra
3102605,Andradas,andradas
3102803,Andrelândia,andrelandia
3102852,Angelândia,angelandia
3102902,Antônio Carlos,antonio_carlos
3103009,Antônio Dias,antonio_dias
3103108,Antônio Prado de Minas,antonio_prado_de_minas
3103207,Araçaí,aracai
3103306,Aracitaba,aracitaba
3103405,Araçuaí,aracuai
3103504,Araguari,araguari
3103603,Arantina,arantina
3103702,Araponga,araponga
3103751,Araporã,arapora
3103801,Arapuá,arapua
3103900,Araújos,araujos
3104007,Araxá,araxa
3104106,Arceburgo,arceburgo
3104205,Arcos,arcos
3104304,Areado,areado
3104403,Argirita,argirita
3104452,Aricanduva,aricanduva
3104502,Arinos,arinos
3104601,Astolfo Dutra,astolfo_dutra
3104700,Ataléia,ataleia
3104809,Augusto de Lima,augusto_de_lima
3104908,Baependi,baependi
3105004,Baldim,baldim
3105103,Bambuí,bambui
3105202,Bandeira,bandeira
3105301,Bandeira do Sul,bandeira_do_sul
3105400,Barão de Cocais,barao_de_cocais
3105509,Barão de Monte Alto,barao_de_monte_alto
3105608,Barbacena,barbacena
3105707,Barra Longa,barra_longa
3105905,Barroso,barroso
3106002,Bela Vista de Minas,bela_vista_de_minas
3106101,Belmiro Braga,belmiro_braga
3106200,Belo Horizonte,belo_horizonte
3106309,Belo Oriente,belo_oriente
3106408,Belo Vale,belo_vale
3106507,Berilo,berilo
3106655,Berizal,berizal
3106606,Bertópolis,bertopolis
3106705,Betim,betim
3106804,Bias Fortes,bias_fortes
3106903,Bicas,bicas
3107000,Biquinhas,biquinhas
3107109,Boa Esperança,boa_esperanca
3107208,Bocaina de Minas,bocaina_de_minas
3107307,Bocaiúva,bocaiuva
3107406,Bom Despacho,bom_despacho
3107505,Bom Jardim de Minas,bom_jardim_de_minas
3107604,Bom Jesus da Penha,bom_jesus_da_penha
3107703,Bom Jesus do Amparo,bom_jesus_do_amparo
3107802,Bom Jesus do Galho,bom_jesus_do_galho
3107901,Bom Repouso,bom_repouso
3108008,Bom Sucesso,bom_sucesso
3108107,Bonfim,bonfim
3108206,Bonfinópolis de Minas,bonfinopolis_de_minas
3108255,Bonito de Minas,bonito_de_minas
3108305,Borda da Mata,borda_da_mata
3108404,Botelhos,botelhos
3108503,Botumirim,botumirim
3108701,Brás Pires,bras_pires
3108552,Brasilândia de Minas,brasilandia_de_minas
3108602,Brasília de Minas,brasilia_de_minas
3108800,Braúnas,braunas
3108909,Brazópolis,brazopolis
3109006,Brumadinho,brumadinho
3109105,Bueno Brandão,bueno_brandao
3109204,Buenópolis,buenopolis
3109253,Bugre,bugre
3109303,Buritis,buritis
3109402,Buritizeiro,buritizeiro
3109451,Cabeceira Grande,cabeceira_grande
3109501,Cabo Verde,cabo_verde
3109600,Cachoeira da Prata,cachoeira_da_prata
3109709,Cachoeira de Minas,cachoeira_de_minas
3102704,Cachoeira de Pajeú,cachoeira_de_pajeu
3109808,Cachoeira Dourada,cachoeira_dourada
3109907,Caetanópolis,caetanopolis
3110004,Caeté,caete
3110103,Caiana,caiana
3110202,Cajuri,cajuri
3110301,Caldas,caldas
3110400,Camacho,camacho
3110509,Camanducaia,camanducaia
3110608,Cambuí,cambui
3110707,Cambuquira,cambuquira
3110806,Campanário,campanario
3110905,Campanha,campanha
3111002,Campestre,campestre
3111101,Campina Verde,campina_verde
3111150,Campo Azul,campo_azul
3111200,Campo Belo,campo_belo
3111309,Campo do Meio,campo_do_meio
3111408,Campo Florido,campo_florido
3111507,Campos Altos,campos_altos
3111606,Campos Gerais,campos_gerais
3111903,Cana Verde,cana_verde
3111705,Canaã,canaa
3111804,Canápolis,canapolis
3112000,Candeias,candeias
3112059,Cantagalo,cantagalo
3112109,Caparaó,caparao
3112208,Capela Nova,capela_nova
3112307,Capelinha,capelinha
3112406,Capetinga,capetinga
3112505,Capim Branco,capim_branco
3112604,Capinópolis,capinopolis
3112653,Capitão Andrade,capitao_andrade
3112703,Capitão Enéas,capitao_eneas
3112802,Capitólio,capitolio
3112901,Caputira,caputira
3113008,Caraí,carai
3113107,Caranaíba,caranaiba
3113206,Carandaí,carandai
3113305,Carangola,carangola
3113404,Caratinga,caratinga
3113503,Carbonita,carbonita
3113602,Careaçu,careacu
3113701,Carlos Chagas,carlos_chagas
3113800,Carmésia,carmesia
