,0,1,2,3,Aditivo,Beneficiário,CNPJ Beneficiário,Categoria do convênio,Contrapartida (R$),Convênio,Data da publicação,Data da situação,Entidade,Filtros utilizados para elaboração da consulta,Motivo,Não há documentos vinculados para este convênio.,Objeto,Período de vigência final,Repasse (R$),Selecione o formato que deseja exportar,Situação,Tipo de convênio,Total (R$),Total conveniado no período para a entidade,Vigência,Órgão concedente,EXECUÇÃO DO PROJETO ESCOTISMO,cooperação entre as partes para a execução do projeto Escotismo,Ano,Concedido (R$),Conta,Mês,Recebido (R$)
0,,Total conveniado no período para a entidade:,PREFEITURA MUNICIPAL DE CONGONHAS,"31.128.380,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,002/2018,,,,,,,,,,,,Outros,"79.950,00",,23/02/2018 à 15/02/2019,,,,,,,,
2,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  01/03/2018  Repasse (R$):  79.950,00 Contrapartida (R$):  0,00  Objeto:  FORMAÇÃO DE GRUPOS ORGANIZADOS E PROPORCIONAR ESPACOS DE CONVIVENCIA ATRAVES DA ARTEPARA A PROMOCAO COMUNITARIA E O FORTALECIMENTO DE VINCULOS ENTRE OS PARTICIPANTES  Aditivo:  TA 05 TC02/2018  Vigência:  01/04/2021 à 30/04/2022  Tipo de convênio:  Outros  Total (R$):  120.401,60  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  31/03/2021  Repasse (R$):  120.401,60 Contrapartida (R$):  0,00  Objeto:  prorrogação da vigência e o estabelecimento do valor dos repasses para o período, mantendo-se o objeto original da Parceria, consistente na execução do Projeto Lapidar, voltado para a formação de grupos organizados conforme percursos de vida, para espaços de convivência por meio da arte, desenvolvimento de relações de sociabilidade e afetividade que contribuem para a promoção comunitária e o fortalecimento de vínculos entre os participantes, com oferta de oficinas de dança, zumba, desenho, memória, jiu jitsu, música, teatro e artesanato.  Aditivo:  TA 06 TC02/2018  Vigência:  29/04/2022 à 30/04/2023  Tipo de convênio:  Outros  Total (R$):  128.000,00  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  29/04/2022  Repasse (R$):  128.000,00 Contrapartida (R$):  0,00  Objeto:  prorrogação da vigência e repasse de valores",,,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  01/03/2018  Repasse (R$):  79.950,00 Contrapartida (R$):  0,00  Objeto:  FORMAÇÃO DE GRUPOS ORGANIZADOS E PROPORCIONAR ESPACOS DE CONVIVENCIA ATRAVES DA ARTEPARA A PROMOCAO COMUNITARIA E O FORTALECIMENTO DE VINCULOS ENTRE OS PARTICIPANTES  Aditivo:  TA 05 TC02/2018  Vigência:  01/04/2021 à 30/04/2022  Tipo de convênio:  Outros  Total (R$):  120.401,60  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  31/03/2021  Repasse (R$):  120.401,60 Contrapartida (R$):  0,00  Objeto:  prorrogação da vigência e o estabelecimento do valor dos repasses para o período, mantendo-se o objeto original da Parceria, consistente na execução do Projeto Lapidar, voltado para a formação de grupos organizados conforme percursos de vida, para espaços de convivência por meio da arte, desenvolvimento de relações de sociabilidade e afetividade que contribuem para a promoção comunitária e o fortalecimento de vínculos entre os participantes, com oferta de oficinas de dança, zumba, desenho, memória, jiu jitsu, música, teatro e artesanato.  Aditivo:  TA 06 TC02/2018  Vigência:  29/04/2022 à 30/04/2023  Tipo de convênio:  Outros  Total (R$):  128.000,00  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  29/04/2022  Repasse (R$):  128.000,00 Contrapartida (R$):  0,00  Objeto:  prorrogação da vigência e repasse de valores","Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  01/03/2018  Repasse (R$):  79.950,00 Contrapartida (R$):  0,00  Objeto:  FORMAÇÃO DE GRUPOS ORGANIZADOS E PROPORCIONAR ESPACOS DE CONVIVENCIA ATRAVES DA ARTEPARA A PROMOCAO COMUNITARIA E O FORTALECIMENTO DE VINCULOS ENTRE OS PARTICIPANTES  Aditivo:  TA 05 TC02/2018  Vigência:  01/04/2021 à 30/04/2022  Tipo de convênio:  Outros  Total (R$):  120.401,60  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  31/03/2021  Repasse (R$):  120.401,60 Contrapartida (R$):  0,00  Objeto:  prorrogação da vigência e o estabelecimento do valor dos repasses para o período, mantendo-se o objeto original da Parceria, consistente na execução do Projeto Lapidar, voltado para a formação de grupos organizados conforme percursos de vida, para espaços de convivência por meio da arte, desenvolvimento de relações de sociabilidade e afetividade que contribuem para a promoção comunitária e o fortalecimento de vínculos entre os participantes, com oferta de oficinas de dança, zumba, desenho, memória, jiu jitsu, música, teatro e artesanato.  Aditivo:  TA 06 TC02/2018  Vigência:  29/04/2022 à 30/04/2023  Tipo de convênio:  Outros  Total (R$):  128.000,00  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  29/04/2022  Repasse (R$):  128.000,00 Contrapartida (R$):  0,00  Objeto:  prorrogação da vigência e repasse de valores",,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA MUNICIPAL DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  01/03/2018  Repasse (R$):  79.950,00 Contrapartida (R$):  0,00  Objeto:  FORMAÇÃO DE GRUPOS ORGANIZADOS E PROPORCIONAR ESPACOS DE CONVIVENCIA ATRAVES DA ARTEPARA A PROMOCAO COMUNITARIA E O FORTALECIMENTO DE VINCULOS ENTRE OS PARTICIPANTES  Aditivo:  TA 05 TC02/2018  Vigência:  01/04/2021 à 30/04/2022  Tipo de convênio:  Outros  Total (R$):  120.401,60  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  31/03/2021  Repasse (R$):  120.401,60 Contrapartida (R$):  0,00  Objeto:  prorrogação da vigência e o estabelecimento do valor dos repasses para o período, mantendo-se o objeto original da Parceria, consistente na execução do Projeto Lapidar, voltado para a formação de grupos organizados conforme percursos de vida, para espaços de convivência por meio da arte, desenvolvimento de relações de sociabilidade e afetividade que contribuem para a promoção comunitária e o fortalecimento de vínculos entre os participantes, com oferta de oficinas de dança, zumba, desenho, memória, jiu jitsu, música, teatro e artesanato.  Aditivo:  TA 06 TC02/2018  Vigência:  29/04/2022 à 30/04/2023  Tipo de convênio:  Outros  Total (R$):  128.000,00  Motivo:  Prazo/Valor  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  ACART  CNPJ Beneficiário:  07.563.501/0001-25  Data da publicação:  29/04/2022  Repasse (R$):  128.000,00 Contrapartida (R$):  0,00  Objeto:  prorrogação da vigência e repasse de valores",,,,,,,,
3,,,,,,,,,,TC 01/2021,,,,,,,,,,,,Outros,"299.995,16",,30/07/2021 à 29/07/2022,,,,,,,,
4,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO COMUNITÁRIA VIDA NOVA  CNPJ Beneficiário:  03.794.951/0001-78  Data da publicação:  30/07/2021  Repasse (R$):  299.995,16 Contrapartida (R$):  0,00  Objeto:  acolhimento de um grupo heterogêneo de até 20 (vinte) pessoas adultas, sendo até 15 homens e até 5 mulheres em situação de rua e/ou em trânsito, sem condições de autossustento, em duas casas separadas, mediante o encaminhamento de documento assinado por técnico responsável da Secretaria de Desenvolvimento e Assistência Social - SEDAS, quando identificada demanda pela equipe de abordagem social do CREAS.  Não existem aditivos vinculados ao convênio.",,,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO COMUNITÁRIA VIDA NOVA  CNPJ Beneficiário:  03.794.951/0001-78  Data da publicação:  30/07/2021  Repasse (R$):  299.995,16 Contrapartida (R$):  0,00  Objeto:  acolhimento de um grupo heterogêneo de até 20 (vinte) pessoas adultas, sendo até 15 homens e até 5 mulheres em situação de rua e/ou em trânsito, sem condições de autossustento, em duas casas separadas, mediante o encaminhamento de documento assinado por técnico responsável da Secretaria de Desenvolvimento e Assistência Social - SEDAS, quando identificada demanda pela equipe de abordagem social do CREAS.  Não existem aditivos vinculados ao convênio.","Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO COMUNITÁRIA VIDA NOVA  CNPJ Beneficiário:  03.794.951/0001-78  Data da publicação:  30/07/2021  Repasse (R$):  299.995,16 Contrapartida (R$):  0,00  Objeto:  acolhimento de um grupo heterogêneo de até 20 (vinte) pessoas adultas, sendo até 15 homens e até 5 mulheres em situação de rua e/ou em trânsito, sem condições de autossustento, em duas casas separadas, mediante o encaminhamento de documento assinado por técnico responsável da Secretaria de Desenvolvimento e Assistência Social - SEDAS, quando identificada demanda pela equipe de abordagem social do CREAS.  Não existem aditivos vinculados ao convênio.",,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  ASSOCIAÇÃO COMUNITÁRIA VIDA NOVA  CNPJ Beneficiário:  03.794.951/0001-78  Data da publicação:  30/07/2021  Repasse (R$):  299.995,16 Contrapartida (R$):  0,00  Objeto:  acolhimento de um grupo heterogêneo de até 20 (vinte) pessoas adultas, sendo até 15 homens e até 5 mulheres em situação de rua e/ou em trânsito, sem condições de autossustento, em duas casas separadas, mediante o encaminhamento de documento assinado por técnico responsável da Secretaria de Desenvolvimento e Assistência Social - SEDAS, quando identificada demanda pela equipe de abordagem social do CREAS.  Não existem aditivos vinculados ao convênio.",,,,,,,,
5,,,,,,,,,,TC 02/2021,,,,,,,,,,,,Outros,"146.175,00",,09/12/2021 à 30/06/2022,,,,,,,,
6,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  FUNDAÇÃO CSN - CET  CNPJ Beneficiário:  19.690.999/0002-57  Data da publicação:  22/12/2021  Repasse (R$):  146.175,00 Contrapartida (R$):  0,00  Objeto:  Ministração pela OSC de cursos profissionalizantes, especialmente de Soldagem, Eletricidade Industrial/Predial, Mecânica Industrial e Mecânico Automotivo ? Motor Diesel, para jovens com idade entre 16 e 20 anos, em nível básico, a serem ofertados a jovens selecionados pela Secretaria Municipal de Educação.  Não existem aditivos vinculados ao convênio.",,,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  FUNDAÇÃO CSN - CET  CNPJ Beneficiário:  19.690.999/0002-57  Data da publicação:  22/12/2021  Repasse (R$):  146.175,00 Contrapartida (R$):  0,00  Objeto:  Ministração pela OSC de cursos profissionalizantes, especialmente de Soldagem, Eletricidade Industrial/Predial, Mecânica Industrial e Mecânico Automotivo ? Motor Diesel, para jovens com idade entre 16 e 20 anos, em nível básico, a serem ofertados a jovens selecionados pela Secretaria Municipal de Educação.  Não existem aditivos vinculados ao convênio.","Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  FUNDAÇÃO CSN - CET  CNPJ Beneficiário:  19.690.999/0002-57  Data da publicação:  22/12/2021  Repasse (R$):  146.175,00 Contrapartida (R$):  0,00  Objeto:  Ministração pela OSC de cursos profissionalizantes, especialmente de Soldagem, Eletricidade Industrial/Predial, Mecânica Industrial e Mecânico Automotivo ? Motor Diesel, para jovens com idade entre 16 e 20 anos, em nível básico, a serem ofertados a jovens selecionados pela Secretaria Municipal de Educação.  Não existem aditivos vinculados ao convênio.",,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  MUNICÍPIO DE CONGONHAS  Beneficiário:  FUNDAÇÃO CSN - CET  CNPJ Beneficiário:  19.690.999/0002-57  Data da publicação:  22/12/2021  Repasse (R$):  146.175,00 Contrapartida (R$):  0,00  Objeto:  Ministração pela OSC de cursos profissionalizantes, especialmente de Soldagem, Eletricidade Industrial/Predial, Mecânica Industrial e Mecânico Automotivo ? Motor Diesel, para jovens com idade entre 16 e 20 anos, em nível básico, a serem ofertados a jovens selecionados pela Secretaria Municipal de Educação.  Não existem aditivos vinculados ao convênio.",,,,,,,,
7,,,,,,,,,,TC 02/2022,,,,,,,,,,,,Outros,"165.000,00",,01/04/2022 à 31/12/2024,,,,,,,,
8,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  FDG  CNPJ Beneficiário:  02.391.429/0001-82  Data da publicação:  19/04/2022  Repasse (R$):  165.000,00 Contrapartida (R$):  0,00  Objeto:  Gestão para Resultados Pedagógicos nas 28 escolas municipais de Ensino Fundamental do Município de Congonhas, tendo por objetivo melhorar o desempenho dos estudantes no IDEB.  Não existem aditivos vinculados ao convênio.",,,,,,,,,,,,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  FDG  CNPJ Beneficiário:  02.391.429/0001-82  Data da publicação:  19/04/2022  Repasse (R$):  165.000,00 Contrapartida (R$):  0,00  Objeto:  Gestão para Resultados Pedagógicos nas 28 escolas municipais de Ensino Fundamental do Município de Congonhas, tendo por objetivo melhorar o desempenho dos estudantes no IDEB.  Não existem aditivos vinculados ao convênio.","Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  FDG  CNPJ Beneficiário:  02.391.429/0001-82  Data da publicação:  19/04/2022  Repasse (R$):  165.000,00 Contrapartida (R$):  0,00  Objeto:  Gestão para Resultados Pedagógicos nas 28 escolas municipais de Ensino Fundamental do Município de Congonhas, tendo por objetivo melhorar o desempenho dos estudantes no IDEB.  Não existem aditivos vinculados ao convênio.",,"Situação:  Em andamento  Situação:  Em andamento  Data da situação: Órgão concedente:  PREFEITURA DE CONGONHAS  Beneficiário:  FDG  CNPJ Beneficiário:  02.391.429/0001-82  Data da publicação:  19/04/2022  Repasse (R$):  165.000,00 Contrapartida (R$):  0,00  Objeto:  Gestão para Resultados Pedagógicos nas 28 escolas municipais de Ensino Fundamental do Município de Congonhas, tendo por objetivo melhorar o desempenho dos estudantes no IDEB.  Não existem aditivos vinculados ao convênio.",,,,,,,,
9,,,,,,,,,,TC 03/2019,,,,,,,,,,,,Outros,"120.000,00",,30/08/2019 à 31/12/2020,,,,,,,,
