,Arquivo,Periodicidade,Publicado em,Ano,Mês,Descrição,Documentos,Tamanho,Acesso à informaçãoAcesso Rápido,Acesso Rápido,"Lei que estabelece de forma regionalizada as diretrizes, objetivos e metas da Administração Pública para as despesas de capital e outras delas decorrentes e para as relativas aos programas de duração continuada.Fonte",Fonte,O conteúdo deste portal está licenciado com uma Licença Creative Commons 4.0 Internacional.Versão,Versão,Tamanho da página,"O Balanço Anual é composto pelo conjunto das demonstrações contábeis aplicadas à Administração Pública e tem como objetivo fornecer aos usuários, de forma consolidada e sintética, as informações sobre os resultados alcançados e os aspectos de natureza orçamentária, financeira, econômica e patrimonial acerca do patrimônio destas entidades, em apoio ao processo de tomada de decisão, à adequada prestação de contas aos órgãos de controle e ao indispensável suporte para a instrumentalização do controle social.Fonte","Lei especial que contém a discriminação da receita e da despesa pública, de forma a evidenciar a política econômica financeira e o programa de trabalho do governo, obedecidos os princípios de unidade, universalidade e anualidade.Fonte","Lei que compreende às metas e prioridades da Administração Pública, incluindo as despesas de capital para o exercício financeiro subseqüente, orienta a elaboração da Lei Orçamentária Anual, dispõe sobre as alterações na legislação tributária e estabelece a política de aplicação das agências financeiras oficiais de fomento.Fonte","A Constituição Federal exige em seu artigo 165, §3º, que o Poder Executivo publicará, no prazo de trinta dias após o encerramento de cada bimestre, o Relatório Resumido de Execução Orçamentária (RREO). A Lei Complementar nº 101/2000, estabelece as normas para sua elaboração e publicação. Este abrange os órgãos que recebam recursos dos orçamentos fiscal e da seguridade social, inclusive sob a forma de subvenções para pagamento de pessoal ou de custeio em geral ou de capital.Fonte","O Relatório de Gestão Fiscal objetiva o controle, o monitoramento e a publicidade do cumprimento dos limites estabelecidos pela Lei de Responsabilidade Fiscal",isvalid
0,,,,,,,,,,,,,,,,,,,,,False
1,,Anual,13/09/2022,2021.0,,Plano Plurianual 2022-2025,Plano Plurianul 2022-2025.pdf,"23,69MB",,,,,,,,,,,,,True
2,,Anual,19/03/2020,2020.0,,PPA,PPA 2019.pdf,"2,15MB",,,,,,,,,,,,,True
3,,Anual,25/02/2019,2019.0,,Plano Plurianual do Município 2018-2021.,PPA 2019.pdf,"2,15MB",,,,,,,,,,,,,True
4,,Anual,27/07/2018,2017.0,,Plano Plurianual 2014 - 2017 - PPA,PPA 2014-2017 Lei 3.354.pdf,"0,25MB",,,,,,,,,,,,,True
5,,Anual,26/01/2018,2018.0,,"Lei n. 3.790/2017, Plano Plurianual para os exercícios 2018-2021.",Lei Municipal n 3.790 de 11 12 2017 PPA 2018-2021.pdf,"2,08MB",,,,,,,,,,,,,True
6,,Anual,12/07/2016,2016.0,,Planu Plurianual de Gestão - 2016,PPA16.pdf,"0,26MB",,,,,,,,,,,,,True
7,,Anual,12/07/2016,2015.0,,Plano Plurianual de Gestão - 2015,PPA15.pdf,"0,26MB",,,,,,,,,,,,,True
8,,,,,,,,,Pesquisar,Pesquisar, Tesouro Nacional.,Tesouro Nacional., 2.22.0.76-3373, 2.22.0.76-3373,10,,,,,,False
9,,Anual,31/07/2018,2017.0,,Balanço anual 2017.,DCA ANUAL - 2017.pdf,"0,66MB",,,,,,,,,,,,,True
10,,Mensal,10/01/2018,2017.0,Outubro,Demonstrativo do Superávit Financeiro - Outubro 2017,10.20 - Demonstrativo das Transferências Financeiras entre Unidades Gestoras - Outubro 2017.pdf,"0,04MB",,,,,,,,,,,,,True
