,N° Processo,N° Contrato,Modalidade,Tipo,Data do Aditivo,Abertura,Objeto,Valor,Datas,Situação,Editais de Licitação e Demais Arquivos,
1, 000091/2021," 0390/2021
",Dispensa,Menor Preço,,29/12/2021,"CONTRATACAO DE EMPRESA PARA ELABORACAO DE PROGRAMA DE PREVENCAO DE RISCOS AMBIENTAIS (PPRA), PROGRAMA DE GERENCIAMENTO DE RISCO (PGR), PROGRAMA DE CONTROLE MEDICO DE SAUDE OCUPACIONAL (PCMSO) E LAUDO DE CONDICOES AMBIENTAIS DE TRABALHO (LTCAT), SEGUINDO OS PARAMETROS DA NR-15 E NR-16 CONFORME EXIGIDO PELA LEI Nº 8213/91 E SUAS MODIFICACOES ATRAVES DAS INSTRUCOES NORMATIVAS DO INSTITUTO NACIONAL DE SEGURIDADE SOCIAL (INSS).",17496,"Homologação: 29/12/2021
Julgamento: 29/12/2021
Adjudicação: 29/12/2021
Prazo de Execução: 12 Meses
",Finalizado,,
2, 000090/2021," 0389/2021
",Dispensa,Menor Preço,,23/12/2021,CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE QUEIJO MINAS FRESCAL EMPACOTADO A VACUO ALTO PADRAO.,12000,"Homologação: 23/12/2021
Julgamento: 23/12/2021
Adjudicação: 23/12/2021
Prazo de Execução: 1 Mes
",Finalizado,,
3, 000089/2021," 0388/2021
",Inexigibilidade,Menor Preço,,22/12/2021,"CONTRATACAO DO GRUPO KARAMETADE, ATRAVES DA EMPRESA MAM EVENTOS, COMERCIO E SERVICOS EIRELI - ME, PARA A REALIZACAO DE SHOW, NO DIA 01 DE JANEIRO DE 2022, RESPECTIVAMENTE, A PARTIR DAS 23H00MIN, EM COMEMORACAO AO ""68º ANIVERSÁRIO DA CIDADE DE CAREACU/MG"".",38500,"Homologação: 23/12/2021
Julgamento: 22/12/2021
Adjudicação: 22/12/2021
Prazo de Execução: 1 Dia
",Finalizado,,
4, 000087/2021," 0386/2021
",Pregão,Menor Preço,,21/12/2021,AQUISICAO DE KITS ESCOLARES PARA O ATENDIMENTO AO SETOR DE EDUCACAO DESTE MUNICIPIO NO ANO LETIVO DE 2022.,208975,"Edital: 06/12/2021
Homologação: 23/12/2021
Julgamento: 21/12/2021
Adjudicação: 21/12/2021
Data de publicação: 06/12/2021
Prazo de Execução: 12 Meses
",Finalizado,,
5, 000086/2021," 0387/2021
",Tomada de Preços,Menor Preço,,22/12/2021,"CONTRATACAO DE EMPRESA DO RAMO (ESPECIALIZADA), PARA CALCAMENTO EM BLOQUETES DE CONCRETO SEXTAVADOS NA RUA DA BALSA E RUA RAUL PEREIRA PINTO NO MUNICIPIO DE CAREACU/MG.",245846.08,"Edital: 03/12/2021
Homologação: 23/12/2021
Julgamento: 22/12/2021
Adjudicação: 22/12/2021
Data de publicação: 03/12/2021
Prazo de Execução: 4 Meses
",Finalizado,,
6, 000085/2021," 0371/2021
",Dispensa,Menor Preço,,01/12/2021,CONTRATACAO DE EMPRESA PARA ILUMINACAO DA IGREJA MATRIZ NOSSA SENHORA DA CONCEICAO COM REFLETORES MULTICOLORIDOS DE 30W.,17380,"Homologação: 01/12/2021
Julgamento: 01/12/2021
Adjudicação: 01/12/2021
Prazo de Execução: 1 Mes
",Finalizado,,
7, 000084/2021," 0381/2021
 0382/2021
 0384/2021
 0380/2021
 0379/2021
 0383/2021
 0385/2021
",Pregão,Menor Preço,,07/12/2021,CONTRATACAO DE EMPRESA PARA AQUISICAO DE EQUIPAMENTOS PARA O ATENDIMENTO A (UBS) UNIDADE BASICA DE SAUDE MUNICIPAL.,98099.5,"Edital: 19/11/2021
Homologação: 14/12/2021
Julgamento: 07/12/2021
Adjudicação: 07/12/2021
Data de publicação: 19/11/2021
Prazo de Execução: 12 Meses
",Finalizado,,
8, 000083/2021," 0377/2021
 0376/2021
 0378/2021
",Pregão,Menor Preço,,02/12/2021,"CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE LEITE UHT SEMI DESNATADO, LEITE A BASE DE SOJA E LEITE EM PO PARA ATENDER AS NECESSIDADES DAS SECRETARIAS DE SAUDE, EDUCACAO E ASSISTENCIA SOCIAL DO MUNICIPIO DE CAREACU-MG.",91852,"Edital: 18/11/2021
Homologação: 13/12/2021
Julgamento: 02/12/2021
Adjudicação: 02/12/2021
Data de publicação: 18/11/2021
Prazo de Execução: 12 Meses
",Finalizado,,
9, 000082/2021," 0373/2021
",Pregão,Menor Preço,,01/12/2021,AQUISICAO DE 2 (DOIS) VEICULOS 0 (ZERO) KM PARA O ATENDIMENTO A SECRETARIA MUNICIPAL DE SAUDE DESTE MUNICIPIO.,139000,"Edital: 16/11/2021
Homologação: 07/12/2021
Julgamento: 01/12/2021
Adjudicação: 01/12/2021
Data de publicação: 16/11/2021
Prazo de Execução: 12 Meses
",Finalizado,,
10, 000081/2021," 0372/2021
",Pregão,Menor Preço,,30/11/2021,"CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE RACAO PARA CAES, PARA ATENDIMENTO AO ABRIGO DA PREFEITURA MUNICIPAL.",34500,"Edital: 11/11/2021
Homologação: 06/12/2021
Julgamento: 30/11/2021
Adjudicação: 30/11/2021
Data de publicação: 11/11/2021
Prazo de Execução: 12 Meses
",Finalizado,,
