Processo,Modalidade,,,Nro. Modalidade,Abertura,,,,Situação,Objeto,,
,,,ESTADO DE MINAS GERAIS,,,,,,,,,
,,,Lista de Processos Licitatórios,,,,,,,,,
,,,,,,,,,,,,
Processo,Modalidade,,,Nro. Modalidade,Abertura,,,,Situação,Objeto,,
,,,,,,,,Publicação,,,,
Exercício: 2021,,,,,,,República Federativa do Brasil,,,,Página: 1 de,1.0
185/2012,INEXIGIBILIDADE DE LICITAÇÃO,,,32,11-12-2012 14:00,,,14-12-2012,Encerrado,"Serviço a ser prestado em manutenção elétrica da máquina Motoniveladora G930, marca Volvo, série 501413, do Departamento de Assistência Rural.",,
184/2012,DISPENSA DE LICITAÇÃO,,,45,11-12-2012 10:00,,,14-12-2012,Encerrado,"Aquisição de peças novas e serviços de mão de obra para revisão de garantia de 750 horas da máquina Retroescavadeira, marca Liugong, modelo 766, Procedência Chinesa, série 000789, a serviço do Departamento de Assistência Rural.",,
178/2012,PREGÃO PRESENCIAL,,,86,07-12-2012 08:30,,,26-11-2012,Encerrado,"Contratação de empresa para confecção de 28 (vinte e oito) bases de mata-burros em concreto armado, com dimensões mínimas de 2,60x0,25x0,45, para atendimento das necessidades do Departamento de Assistência Rural.",,
182/2012,INEXIGIBILIDADE DE LICITAÇÃO,,,31,04-12-2012 08:30,,,10-12-2012,Encerrado,"Aquisição de uma bateria nova para substituição da Motoniveladora G930, marca Volvo, série 501413, do Departamento de Assistência Rural.",,
181/2012,DISPENSA DE LICITAÇÃO,,,43,03-12-2012 15:30,,,10-12-2012,Encerrado,"Contratação de empresa especializada para prestação de serviços de locação de aparelho Bipap Auto-flex, para programa de oxigenoterapia, para paciente em coma vigil e insuficiência respiratória crônica, atendido pelo Departamento de Saúde.",,
180/2012,INEXIGIBILIDADE DE LICITAÇÃO,,,30,03-12-2012 13:00,,,10-12-2012,Encerrado,"Aquisição de peças novas e serviços de mão de obra mecânica para manutenção do veículo Car/Caminhão/Basculante, marca/modelo Iveco/Eurocargo 230E24, ano/modelo 2009/2009, placa HLF-1556, a serviço do Departamento de Assistência Rural.",,
179/2012,DISPENSA DE LICITAÇÃO,,,42,03-12-2012 10:00,,,10-12-2012,Encerrado,"Aquisição de peças novas e serviços de mão de obra mecânica para revisão de garantia de 30.000 km do veículo Esp/Caminhonete/Ambulância, marca/modelo Fiat/Doblo Rontan AMB2, ano 2011, modelo 2012, placa NXX-0967, a serviço da Atenção Especializada da Saúde.",,
177/2012,LEILÃO,,,1,28-11-2012 08:00,,,13-11-2012,Encerrado,"Alienação de veículos usados, bens móveis e inservíveis à Administração.",,
173/2012,PREGÃO PRESENCIAL,,,85,19-11-2012 08:30,,,01-11-2012,Encerrado,"Aquisição de brinquedos a serem distribuídos no evento ""Natal das Crianças Carentes"" no dia 15/12/2012, início previsto para às 15:00 horas e término às 18:00 horas, no Parque de Exposição Virgílio Galassi, situado à Praça dos Arantes, Bairro Esperança, Prata-MG, a ser promovido pelo Departamento de Promoção Humana.

",,
170/2012,PREGÃO PRESENCIAL,,,84,14-11-2012 08:30,,,31-10-2012,Encerrado,Contratação de empresa para prestação de serviços gráficos de plotagem de mapas e projetos para serem utilizados de acordo com a necessidade pela Assessoria de Planejamento.,,
175/2012,CARTA CONVITE,,,5,13-11-2012 13:30,,,06-11-2012,Encerrado,"Contratação de empresa para realização de show artístico com Emilio e Eduardo, no dia 15/11/2012, na Praça XV de Novembro, Centro, destinado a comemoração das festividades do aniversário da cidade, início previsto às 23:00 horas e término às 02:00 horas do dia 16/11/2012.

",,
172/2012,CARTA CONVITE,,,4,13-11-2012 08:30,,,01-11-2012,Encerrado,"Contratação de empresa para execução de serviços de manutenção corretiva para o equipamento hospitalar: Aparelho de Raio-X, marca Medicor, modelo Neodiagnomax, nº de Patrimônio 12.295, utilizado no (PAM) Pronto Atendimento Municipal.",,
167/2012,PREGÃO PRESENCIAL,,,83,12-11-2012 13:30,,,29-10-2012,Encerrado,"Aquisição de figurinos diversos para jovens adolescentes para realização do ""Festival de Dança"" do Projeto do CRAS ""Ela Dança, Eu Danço"", no Ginásio Poliesportivo Sergio Henrique Novais, situado à Travessa Olímpica, nº 20, Bairro Centro, Prata-MG, no dia 08/12/2012.",,
166/2012,PREGÃO PRESENCIAL,,,82,12-11-2012 08:30,,,29-10-2012,Fracassado,Aquisição de medicamentos para o Departamento de Saúde.,,
165/2012,PREGÃO - REGISTRO DE PREÇO,,,2,09-11-2012 08:30,,,25-10-2012,Encerrado,"Registro de Preços para futura e eventual prestação de serviços de manutenção preventiva e corretiva, com fornecimento e instalação de peças genuínas, quando for o caso, em todos os veículos, máquinas e equipamentos mecânicos do Município de Prata.",,
176/2012,DISPENSA DE LICITAÇÃO,,,41,06-11-2012 14:00,,,13-11-2012,Encerrado,"Aquisição de peças novas e serviços de mão de obra mecânica para revisão de garantia de 20.000 Km do veículo Car/Caminhão/Basculante, marca/modelo Iveco/Vertis 130V18, ",,
